bill_id,vendor,bill_date,due_date,amount,status
BILL001,CloudPeak Technologies,2026-08-03,2026-08-17,1450.00,paid
BILL002,Office Depot,2026-08-08,2026-08-22,642.18,paid
BILL003,Apex Consulting LLC,2026-08-21,2026-09-04,3200.00,paid
BILL004,Cloud Peak Technology,2026-08-15,2026-08-29,1450.00,paid
BILL005,CloudPeak Technologies,2026-08-03,2026-08-17,1450.00,paid
BILL006,Adobe,2026-08-20,2026-09-03,599.00,open
BILL101,AWS Cloud Services,2026-09-01,2026-09-15,875.00,paid
BILL102,Office Lease,2026-09-01,2026-09-05,2400.00,paid
BILL103,Adobe Systems,2026-09-03,2026-09-17,599.00,paid
BILL104,CloudPeak Technologies,2026-09-04,2026-09-18,1450.00,paid
BILL105,Vertex Office Supplies,2026-09-07,2026-09-21,325.00,paid
BILL106,Cloud Peak Technology,2026-09-08,2026-09-22,1450.00,open
BILL107,AWS Cloud Services,2026-09-12,2026-09-26,920.00,paid
BILL108,Harbor Insurance,2026-09-14,2026-09-28,680.00,open
